"key","value","run_uuid"
"mlflow.user","singh","0b6b1d97f2954595ae9bcbccdd56332a"
"mlflow.source.name","G:\testmlflow_withpostgres\src\main.py","0b6b1d97f2954595ae9bcbccdd56332a"
"mlflow.source.type","LOCAL","0b6b1d97f2954595ae9bcbccdd56332a"
"mlflow.runName","delightful-hare-856","0b6b1d97f2954595ae9bcbccdd56332a"
"project_version","0.1.0","0b6b1d97f2954595ae9bcbccdd56332a"
"environment","dev","0b6b1d97f2954595ae9bcbccdd56332a"
"framework","agno","0b6b1d97f2954595ae9bcbccdd56332a"
"application","math-agent","0b6b1d97f2954595ae9bcbccdd56332a"
"mlflow.user","singh","7e860a79728c4567a33345b939851c52"
"mlflow.source.name","G:\testmlflow_withpostgres\src\main.py","7e860a79728c4567a33345b939851c52"
"mlflow.source.type","LOCAL","7e860a79728c4567a33345b939851c52"
"mlflow.runName","unequaled-toad-66","7e860a79728c4567a33345b939851c52"
"project_version","0.1.0","7e860a79728c4567a33345b939851c52"
"environment","dev","7e860a79728c4567a33345b939851c52"
"framework","agno","7e860a79728c4567a33345b939851c52"
"application","math-agent","7e860a79728c4567a33345b939851c52"
"mlflow.user","singh","17314adec1da4975a4a685d4caaaeee4"
"mlflow.source.name","G:\testmlflow_withpostgres\src\main.py","17314adec1da4975a4a685d4caaaeee4"
"mlflow.source.type","LOCAL","17314adec1da4975a4a685d4caaaeee4"
"mlflow.runName","enchanting-owl-846","17314adec1da4975a4a685d4caaaeee4"
"project_version","0.1.0","17314adec1da4975a4a685d4caaaeee4"
"environment","dev","17314adec1da4975a4a685d4caaaeee4"
"framework","agno","17314adec1da4975a4a685d4caaaeee4"
"application","math-agent","17314adec1da4975a4a685d4caaaeee4"
